%Дата;Номенклатура Наименование;Организация Наименование;Фактическое количество
31.08.2024;Авиатопливо ТС-1;Организация1;62,685
31.07.2025;Авиатопливо ТС-1;Организация1;914,728
30.09.2024;Авиатопливо ТС-1;Организация1;0,000
31.01.2025;Авиатопливо ТС-1;Организация1;71,338
31.08.2024;Авиатопливо ТС-1;Организация1;189,074
31.08.2024;Авиатопливо ТС-1;Организация1;62,787
30.04.2025;Авиатопливо ТС-1;Организация1;71,338
31.07.2025;Авиатопливо ТС-1;Организация1;693,130
30.06.2025;Авиатопливо ТС-1;Организация1;914,728
31.05.2025;Авиатопливо ТС-1;Организация1;600,415
30.09.2025;Авиатопливо ТС-1;Организация1;0,000
30.06.2025;Авиатопливо ТС-1;Организация1;693,130
31.08.2024;Авиатопливо ТС-1;Организация1;62,767
30.09.2024;Авиатопливо ТС-1;Организация1;0,000
31.10.2025;Авиатопливо ТС-1;Организация2;0,000
31.07.2024;Авиатопливо ТС-1;Организация2;0,000
31.07.2024;Авиатопливо ТС-1;Организация2;0,000
31.07.2024;Авиатопливо ТС-1;Организация2;0,000
31.07.2024;Авиатопливо ТС-1;Организация2;0,000
31.07.2024;Авиатопливо ТС-1;Организация2;0,000
31.08.2025;Авиатопливо ТС-1;Организация1;600,415
30.09.2024;Авиатопливо ТС-1;Организация1;58,007
31.08.2025;Авиатопливо ТС-1;Организация1;582,232
31.12.2025;Авиатопливо ТС-1;Организация1;563,357
31.10.2024;Авиатопливо ТС-1;Организация1;0,000
30.11.2025;Авиатопливо ТС-1;Организация1;563,357
31.08.2024;Авиатопливо ТС-1;Организация1;253,813
28.02.2025;Авиатопливо ТС-1;Организация1;71,338
31.12.2024;Авиатопливо ТС-1;Организация1;71,338
30.09.2025;Авиатопливо ТС-1;Организация1;0,000
30.06.2025;Авиатопливо ТС-1;Организация1;64,990
30.09.2024;Авиатопливо ТС-1;Организация1;0,000
31.08.2025;Авиатопливо ТС-1;Организация1;174,007
31.08.2024;Авиатопливо ТС-1;Организация1;431,349
30.06.2025;Авиатопливо ТС-1;Организация1;600,415
30.06.2025;Авиатопливо ТС-1;Организация1;535,287
31.05.2025;Авиатопливо ТС-1;Организация1;914,728
30.09.2024;Авиатопливо ТС-1;Организация1;62,787
31.10.2024;Авиатопливо ТС-1;Организация1;0,000
30.09.2024;Авиатопливо ТС-1;Организация1;56,858
31.07.2025;Авиатопливо ТС-1;Организация1;600,415
31.07.2024;Авиатопливо ТС-1;Организация2;0,000
30.09.2024;Авиатопливо ТС-1;Организация1;0,000
30.09.2024;Авиатопливо ТС-1;Организация1;0,000
30.09.2024;Авиатопливо ТС-1;Организация1;0,000
31.10.2025;Авиатопливо ТС-1;Организация1;563,357
30.09.2025;Авиатопливо ТС-1;Организация1;600,415
31.08.2024;Авиатопливо ТС-1;Организация1;283,860
31.10.2025;Авиатопливо ТС-1;Организация1;0,000
31.08.2025;Авиатопливо ТС-1;Организация1;693,130
30.11.2024;Авиатопливо ТС-1;Организация2;0,000
31.12.2025;Авиатопливо ТС-1;Организация2;55,679
31.10.2025;Авиатопливо ТС-1;Организация2;112,210
30.11.2024;Авиатопливо ТС-1;Организация2;63,309
31.10.2025;Авиатопливо ТС-1;Организация2;111,639
29.02.2024;Авиатопливо ТС-1;Организация2;0,000
31.10.2024;Авиатопливо ТС-1;Организация2;64,291
31.10.2025;Авиатопливо ТС-1;Организация2;176,095
29.02.2024;Авиатопливо ТС-1;Организация2;0,000
30.11.2025;Авиатопливо ТС-1;Организация2;94,775
30.09.2024;Авиатопливо ТС-1;Организация2;0,000
31.10.2024;Авиатопливо ТС-1;Организация2;62,789
30.11.2025;Авиатопливо ТС-1;Организация2;232,905
30.11.2025;Авиатопливо ТС-1;Организация2;54,938
31.07.2025;Авиатопливо ТС-1;Организация2;0,000
31.01.2024;Авиатопливо ТС-1;Организация2;236,656
31.07.2024;Авиатопливо ТС-1;Организация2;0,000
31.01.2025;Авиатопливо ТС-1;Организация2;194,420
30.06.2024;Авиатопливо ТС-1;Организация2;0,000
31.03.2025;Авиатопливо ТС-1;Организация2;185,423
30.11.2024;Авиатопливо ТС-1;Организация2;341,608
31.03.2025;Авиатопливо ТС-1;Организация2;335,986
30.06.2025;Авиатопливо ТС-1;Организация2;0,000
31.10.2025;Авиатопливо ТС-1;Организация2;63,168
30.09.2024;Авиатопливо ТС-1;Организация2;0,000
31.08.2024;Авиатопливо ТС-1;Организация2;363,102
31.10.2024;Авиатопливо ТС-1;Организация2;63,309
31.12.2024;Авиатопливо ТС-1;Организация2;9,998
30.11.2024;Авиатопливо ТС-1;Организация2;48,967
30.09.2025;Авиатопливо ТС-1;Организация2;284,949
31.05.2024;Авиатопливо ТС-1;Организация2;56,680
30.11.2025;Авиатопливо ТС-1;Организация2;55,679
30.06.2024;Авиатопливо ТС-1;Организация2;0,000
31.05.2024;Авиатопливо ТС-1;Организация2;54,939
30.11.2025;Авиатопливо ТС-1;Организация2;129,284
30.11.2024;Авиатопливо ТС-1;Организация2;54,635
29.02.2024;Авиатопливо ТС-1;Организация2;0,000
30.06.2024;Авиатопливо ТС-1;Организация2;0,000
30.11.2025;Авиатопливо ТС-1;Организация2;0,000
31.05.2025;Авиатопливо ТС-1;Организация2;0,000
31.01.2025;Авиатопливо ТС-1;Организация2;0,000
31.12.2024;Авиатопливо ТС-1;Организация2;0,000
31.08.2024;Авиатопливо ТС-1;Организация2;186,461
30.04.2025;Авиатопливо ТС-1;Организация2;388,460
30.09.2025;Авиатопливо ТС-1;Организация2;54,938
31.05.2024;Авиатопливо ТС-1;Организация2;0,000
30.11.2024;Авиатопливо ТС-1;Организация2;236,725
31.12.2024;Авиатопливо ТС-1;Организация2;0,000
30.09.2025;Авиатопливо ТС-1;Организация2;55,679
31.10.2025;Авиатопливо ТС-1;Организация2;54,938
31.12.2024;Авиатопливо ТС-1;Организация2;0,000
31.01.2024;Авиатопливо ТС-1;Организация2;181,015
30.11.2025;Авиатопливо ТС-1;Организация2;54,938
30.06.2024;Авиатопливо ТС-1;Организация2;0,000
30.06.2024;Авиатопливо ТС-1;Организация2;0,000
31.05.2024;Авиатопливо ТС-1;Организация2;0,000
31.05.2024;Авиатопливо ТС-1;Организация2;119,869
31.10.2025;Авиатопливо ТС-1;Организация2;0,000
30.06.2024;Авиатопливо ТС-1;Организация2;0,000
31.05.2024;Авиатопливо ТС-1;Организация2;64,132
30.09.2025;Авиатопливо ТС-1;Организация2;225,666
31.05.2024;Авиатопливо ТС-1;Организация2;54,316
31.10.2025;Авиатопливо ТС-1;Организация2;55,679
31.08.2025;Авиатопливо ТС-1;Организация2;65,668
31.07.2025;Авиатопливо ТС-1;Организация2;0,000
31.03.2025;Авиатопливо ТС-1;Организация2;58,368
30.11.2025;Авиатопливо ТС-1;Организация2;176,095
28.02.2025;Авиатопливо ТС-1;Организация2;58,368
31.01.2025;Авиатопливо ТС-1;Организация2;0,000
31.07.2025;Авиатопливо ТС-1;Организация2;0,000
30.04.2025;Авиатопливо ТС-1;Организация2;61,953
31.08.2025;Авиатопливо ТС-1;Организация2;243,100
30.04.2024;Авиатопливо ТС-1;Организация2;57,321
31.05.2024;Авиатопливо ТС-1;Организация2;0,000
30.11.2025;Авиатопливо ТС-1;Организация2;65,828
30.04.2024;Авиатопливо ТС-1;Организация2;0,000
30.04.2025;Авиатопливо ТС-1;Организация2;62,514
29.02.2024;Авиатопливо ТС-1;Организация2;0,000
30.11.2024;Авиатопливо ТС-1;Организация2;232,776
30.06.2024;Авиатопливо ТС-1;Организация2;0,000
28.02.2025;Авиатопливо ТС-1;Организация2;62,514
28.02.2025;Авиатопливо ТС-1;Организация2;180,132
31.08.2024;Авиатопливо ТС-1;Организация2;0,000
30.06.2024;Авиатопливо ТС-1;Организация2;0,000
30.06.2024;Авиатопливо ТС-1;Организация2;0,000
31.07.2024;Авиатопливо ТС-1;Организация2;0,000
31.01.2025;Авиатопливо ТС-1;Организация2;0,000
30.09.2024;Авиатопливо ТС-1;Организация2;63,748
30.06.2025;Авиатопливо ТС-1;Организация2;0,000
30.11.2024;Авиатопливо ТС-1;Организация2;298,981
31.05.2024;Авиатопливо ТС-1;Организация2;108,849
30.06.2025;Авиатопливо ТС-1;Организация2;243,100
31.03.2025;Авиатопливо ТС-1;Организация2;62,514
31.05.2024;Авиатопливо ТС-1;Организация2;0,000
31.08.2025;Авиатопливо ТС-1;Организация2;305,140
30.04.2024;Авиатопливо ТС-1;Организация2;173,886
30.06.2025;Авиатопливо ТС-1;Организация2;180,132
31.01.2024;Авиатопливо ТС-1;Организация2;117,828
31.05.2025;Авиатопливо ТС-1;Организация2;0,000
30.06.2025;Авиатопливо ТС-1;Организация2;35,304
31.10.2024;Авиатопливо ТС-1;Организация2;0,000
30.11.2025;Авиатопливо ТС-1;Организация2;364,024
31.03.2025;Авиатопливо ТС-1;Организация2;180,132
31.07.2024;Авиатопливо ТС-1;Организация2;55,294
31.12.2024;Авиатопливо ТС-1;Организация2;0,000
30.04.2024;Авиатопливо ТС-1;Организация2;0,000
30.04.2024;Авиатопливо ТС-1;Организация2;0,000
31.05.2024;Авиатопливо ТС-1;Организация2;184,061
31.08.2024;Авиатопливо ТС-1;Организация2;55,294
30.09.2025;Авиатопливо ТС-1;Организация2;0,000
30.09.2025;Авиатопливо ТС-1;Организация2;65,828
30.06.2025;Авиатопливо ТС-1;Организация2;238,680
30.09.2024;Авиатопливо ТС-1;Организация2;0,000
30.11.2025;Авиатопливо ТС-1;Организация2;129,284
31.01.2024;Авиатопливо ТС-1;Организация2;227,579
31.12.2024;Авиатопливо ТС-1;Организация2;0,000
30.11.2024;Авиатопливо ТС-1;Организация2;257,099
31.10.2025;Авиатопливо ТС-1;Организация2;108,502
31.12.2024;Авиатопливо ТС-1;Организация2;0,000
30.11.2024;Авиатопливо ТС-1;Организация2;229,034
30.06.2025;Авиатопливо ТС-1;Организация2;305,140
30.11.2025;Авиатопливо ТС-1;Организация2;118,767
30.09.2024;Авиатопливо ТС-1;Организация2;0,000
30.04.2025;Авиатопливо ТС-1;Организация2;345,340
30.04.2024;Авиатопливо ТС-1;Организация2;0,000
