%Дата;Номенклатура Наименование;Организация Наименование;ДвижениеНП
01.05.2025;Авиатопливо ТС-1;Организация1;3653,914
06.05.2025;Авиатопливо ТС-1;Организация1;-49,476
21.05.2025;Авиатопливо ТС-1;Организация1;-128,319
14.05.2025;Авиатопливо ТС-1;Организация2;-310,38
19.05.2025;Авиатопливо ТС-1;Организация2;-47,495
16.05.2025;Авиатопливо ТС-1;Организация2;-166,038
20.05.2025;Авиатопливо ТС-1;Организация2;217,213
21.05.2025;Авиатопливо ТС-1;Организация2;-85,514
25.05.2025;Авиатопливо ТС-1;Организация2;305,14
02.06.2025;Авиатопливо ТС-1;Организация2;-84,827
25.06.2025;Авиатопливо ТС-1;Организация2;-204,707
13.06.2025;Авиатопливо ТС-1;Организация2;-41,966
14.06.2025;Авиатопливо ТС-1;Организация2;-15
12.06.2025;Авиатопливо ТС-1;Организация2;-50,549
15.06.2025;Авиатопливо ТС-1;Организация2;-2,461
24.06.2025;Авиатопливо ТС-1;Организация2;-69,935
26.06.2025;Авиатопливо ТС-1;Организация2;-45,77
28.07.2025;Авиатопливо ТС-1;Организация2;-2,359
26.07.2025;Авиатопливо ТС-1;Организация2;-10,003
30.07.2025;Авиатопливо ТС-1;Организация2;-26,024
31.07.2025;Авиатопливо ТС-1;Организация2;-138,662
07.07.2025;Авиатопливо ТС-1;Организация2;-243,665
08.07.2025;Авиатопливо ТС-1;Организация2;-46,003
11.07.2025;Авиатопливо ТС-1;Организация2;-71,512
23.07.2025;Авиатопливо ТС-1;Организация2;-157,704
24.07.2025;Авиатопливо ТС-1;Организация2;-168,98
01.08.2025;Авиатопливо ТС-1;Организация2;-111,934
11.08.2025;Авиатопливо ТС-1;Организация2;-72,04
18.08.2025;Авиатопливо ТС-1;Организация2;-62,901
06.08.2025;Авиатопливо ТС-1;Организация1;-98,208
07.08.2025;Авиатопливо ТС-1;Организация1;-98,084
08.08.2025;Авиатопливо ТС-1;Организация1;-73,532
13.08.2025;Авиатопливо ТС-1;Организация1;-49,104
14.08.2025;Авиатопливо ТС-1;Организация1;-24,552
15.08.2025;Авиатопливо ТС-1;Организация1;-49,104
16.08.2025;Авиатопливо ТС-1;Организация1;-73,339
15.08.2025;Авиатопливо ТС-1;Организация2;-19,342
18.08.2025;Авиатопливо ТС-1;Организация1;-97,891
19.08.2025;Авиатопливо ТС-1;Организация1;-49,104
21.08.2025;Авиатопливо ТС-1;Организация1;-166,795
22.08.2025;Авиатопливо ТС-1;Организация1;-97,891
26.08.2025;Авиатопливо ТС-1;Организация1;-78,19
27.08.2025;Авиатопливо ТС-1;Организация1;-98,015
28.08.2025;Авиатопливо ТС-1;Организация1;-123,391
29.08.2025;Авиатопливо ТС-1;Организация1;-98,808
10.09.2025;Авиатопливо ТС-1;Организация2;-379,797
11.09.2025;Авиатопливо ТС-1;Организация2;-320,321
16.09.2025;Авиатопливо ТС-1;Организация2;-305,923
17.09.2025;Авиатопливо ТС-1;Организация2;-196,547
12.09.2025;Авиатопливо ТС-1;Организация2;-73,673
15.09.2025;Авиатопливо ТС-1;Организация2;-176,371
30.09.2025;Авиатопливо ТС-1;Организация2;288,305
30.09.2025;Авиатопливо ТС-1;Организация1;-49,29
22.09.2025;Авиатопливо ТС-1;Организация2;230,406
24.09.2025;Авиатопливо ТС-1;Организация2;110,617
18.09.2025;Авиатопливо ТС-1;Организация2;-37,675
21.09.2025;Авиатопливо ТС-1;Организация2;469,877
03.09.2025;Авиатопливо ТС-1;Организация2;414,834
05.09.2025;Авиатопливо ТС-1;Организация2;-138,708
02.09.2025;Авиатопливо ТС-1;Организация1;-98,332
03.09.2025;Авиатопливо ТС-1;Организация1;-74,225
04.09.2025;Авиатопливо ТС-1;Организация2;127,233
04.09.2025;Авиатопливо ТС-1;Организация1;-49,166
05.09.2025;Авиатопливо ТС-1;Организация1;-49,166
08.09.2025;Авиатопливо ТС-1;Организация2;-21,259
09.09.2025;Авиатопливо ТС-1;Организация2;-359,878
09.09.2025;Авиатопливо ТС-1;Организация1;-49,228
10.09.2025;Авиатопливо ТС-1;Организация1;-49,228
11.09.2025;Авиатопливо ТС-1;Организация1;-98,332
12.09.2025;Авиатопливо ТС-1;Организация1;-49,642
15.09.2025;Авиатопливо ТС-1;Организация1;-98,208
16.09.2025;Авиатопливо ТС-1;Организация1;-73,656
19.09.2025;Авиатопливо ТС-1;Организация1;-49,104
22.09.2025;Авиатопливо ТС-1;Организация1;-98,332
23.09.2025;Авиатопливо ТС-1;Организация1;-73,749
25.09.2025;Авиатопливо ТС-1;Организация1;-98,332
26.09.2025;Авиатопливо ТС-1;Организация1;-49,228
29.09.2025;Авиатопливо ТС-1;Организация1;-98,58
02.09.2025;Авиатопливо ТС-1;Организация2;292,683
07.09.2025;Авиатопливо ТС-1;Организация2;284,949
29.09.2025;Авиатопливо ТС-1;Организация2;429,852
26.09.2025;Авиатопливо ТС-1;Организация2;-33,525
01.10.2025;Авиатопливо ТС-1;Организация1;-24,676
06.10.2025;Авиатопливо ТС-1;Организация1;-98,704
07.10.2025;Авиатопливо ТС-1;Организация1;-98,828
08.10.2025;Авиатопливо ТС-1;Организация1;-49,352
10.10.2025;Авиатопливо ТС-1;Организация2;-2,618
13.10.2025;Авиатопливо ТС-1;Организация1;-49,352
28.10.2025;Авиатопливо ТС-1;Организация1;-24,707
01.10.2025;Авиатопливо ТС-1;Организация2;108,502
02.10.2025;Авиатопливо ТС-1;Организация2;347,575
03.10.2025;Авиатопливо ТС-1;Организация2;232,905
24.10.2025;Авиатопливо ТС-1;Организация2;-194,392
08.10.2025;Авиатопливо ТС-1;Организация2;2,618
23.10.2025;Авиатопливо ТС-1;Организация2;-115,532
07.11.2025;Авиатопливо ТС-1;Организация2;-228,703
26.11.2025;Авиатопливо ТС-1;Организация2;-31,002
05.11.2025;Авиатопливо ТС-1;Организация2;129,284
29.11.2025;Авиатопливо ТС-1;Организация2;-11,035
27.11.2025;Авиатопливо ТС-1;Организация2;-5,56
24.12.2025;Авиатопливо ТС-1;Организация2;-177,5
29.12.2025;Авиатопливо ТС-1;Организация2;-38,832
